event_id,store_id,campaign_id,product_code,base_price(before_promo),quantity_sold(before_promo),promo_type,base_price(after_promo),quantity_sold(after_promo),campaign_name,start_date,end_date,product_name,category,revenue_before_promo,revenue_after_promo
20618e,STCHE-3,CAMP_SAN_01,P04,370,379.0,BOGOF,185,1622,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,140230.0,300070
6d153f,STHYD-5,CAMP_SAN_01,P15,3000,122.0,500 Cashback,2500,272,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,366000.0,680000
6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,22.0,BOGOF,595,88,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,26180.0,52360
a7fecb,STBLR-1,CAMP_SAN_01,P03,200,361.0,BOGOF,100,963,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,72200.0,96300
d04bc1,STCBE-0,CAMP_SAN_01,P09,90,49.0,25% OFF,67,46,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,4410.0,3082
ed7b12,STVSK-0,CAMP_SAN_01,P10,50,16.0,25% OFF,37,13,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,800.0,481
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,61.0,BOGOF,510,234,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,62220.0,119340
e0ef00,STBLR-9,CAMP_SAN_01,P03,200,309.0,BOGOF,100,1226,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,61800.0,122600
90110c,STHYD-0,CAMP_SAN_01,P04,370,412.0,BOGOF,185,1615,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,152440.0,298775
a2d32f,STVSK-3,CAMP_SAN_01,P09,90,39.0,25% OFF,67,31,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,3510.0,2077
fa1dd3,STCHE-3,CAMP_SAN_01,P15,3000,127.0,500 Cashback,2500,367,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,381000.0,917500
92151c,STMDU-3,CAMP_SAN_01,P10,50,25.0,25% OFF,37,20,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,1250.0,740
31c430,STHYD-1,CAMP_SAN_01,P01,172,312.0,33% OFF,115,393,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,53664.0,45195
9d3d1f,STCHE-6,CAMP_SAN_01,P15,3000,147.0,500 Cashback,2500,320,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,441000.0,800000
57d06d,STCBE-1,CAMP_SAN_01,P09,90,54.0,25% OFF,67,39,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,4860.0,2613
decd5e,STMDU-2,CAMP_SAN_01,P10,50,21.0,25% OFF,37,17,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,1050.0,629
67820e,STBLR-0,CAMP_SAN_01,P10,50,31.0,25% OFF,37,25,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,1550.0,925
97ad03,STCBE-1,CAMP_SAN_01,P02,860,379.0,33% OFF,576,462,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,325940.0,266112
029ff8,STMLR-0,CAMP_SAN_01,P01,172,169.0,33% OFF,115,236,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,29068.0,27140
b4867e,STCHE-6,CAMP_SAN_01,P11,190,57.0,50% OFF,95,79,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,10830.0,7505
7f6f08,STBLR-7,CAMP_SAN_01,P05,55,24.0,25% OFF,41,20,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,1320.0,820
debbd7,STCBE-0,CAMP_SAN_01,P11,190,45.0,50% OFF,95,72,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,8550.0,6840
607c9d,STCHE-2,CAMP_SAN_01,P02,860,556.0,33% OFF,576,711,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,478160.0,409536
291ddf,STCBE-1,CAMP_SAN_01,P03,200,267.0,BOGOF,100,1054,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,53400.0,105400
dc07e1,STMYS-2,CAMP_SAN_01,P06,415,31.0,25% OFF,311,26,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,12865.0,8086
078a6a,STMDU-0,CAMP_SAN_01,P09,90,57.0,25% OFF,67,47,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,5130.0,3149
dc2bb1,STMYS-3,CAMP_SAN_01,P02,860,400.0,33% OFF,576,476,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,344000.0,274176
eb4f04,STMLR-0,CAMP_SAN_01,P15,3000,54.0,500 Cashback,2500,89,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,162000.0,222500
70c312,STHYD-4,CAMP_SAN_01,P13,350,78.0,BOGOF,175,534,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,27300.0,93450
7641,STBLR-1,CAMP_SAN_01,P14,1020,97.0,BOGOF,510,257,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,98940.0,131070
4dca21,STVSK-1,CAMP_SAN_01,P04,370,252.0,BOGOF,185,985,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,93240.0,182225
aa76f1,STHYD-0,CAMP_SAN_01,P11,190,42.0,50% OFF,95,65,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,7980.0,6175
d42636,STBLR-6,CAMP_SAN_01,P05,55,25.0,25% OFF,41,20,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,1375.0,820
c6693c,STBLR-1,CAMP_SAN_01,P04,370,413.0,BOGOF,185,1102,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,152810.0,203870
f23d14,STHYD-1,CAMP_SAN_01,P05,55,25.0,25% OFF,41,21,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,1375.0,861
b110d3,STCBE-3,CAMP_SAN_01,P06,415,18.0,25% OFF,311,14,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,7470.0,4354
4236be,STTRV-0,CAMP_SAN_01,P14,1020,70.0,BOGOF,510,280,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,71400.0,142800
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,63.0,500 Cashback,2500,151,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,189000.0,377500
8829ef,STCBE-0,CAMP_SAN_01,P12,62,39.0,50% OFF,31,61,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,2418.0,1891
41d6bd,STCHE-1,CAMP_SAN_01,P03,200,424.0,BOGOF,100,1127,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,84800.0,112700
8b729b,STMDU-2,CAMP_SAN_01,P02,860,319.0,33% OFF,576,379,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,274340.0,218304
fedf26,STMLR-2,CAMP_SAN_01,P10,50,19.0,25% OFF,37,15,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,950.0,555
46021e,STCHE-1,CAMP_SAN_01,P07,300,31.0,BOGOF,150,79,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,9300.0,11850
8e97d1,STBLR-7,CAMP_SAN_01,P09,90,72.0,25% OFF,67,58,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,6480.0,3886
716abd,STMYS-1,CAMP_SAN_01,P08,1190,54.0,BOGOF,595,238,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,64260.0,141610
413f48,STVSK-0,CAMP_SAN_01,P14,1020,61.0,BOGOF,510,234,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,62220.0,119340
3968a6,STMYS-3,CAMP_SAN_01,P05,55,19.0,25% OFF,41,16,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,1045.0,656
166989,STCBE-1,CAMP_SAN_01,P01,172,169.0,33% OFF,115,206,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,29068.0,23690
dee3e9,STCBE-0,CAMP_SAN_01,P03,200,384.0,BOGOF,100,1509,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,76800.0,150900
3c0536,STBLR-4,CAMP_SAN_01,P03,200,415.0,BOGOF,100,1622,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,83000.0,162200
4a5884,STHYD-0,CAMP_SAN_01,P12,62,57.0,50% OFF,31,90,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,3534.0,2790
feadc3,STCBE-0,CAMP_SAN_01,P05,55,21.0,25% OFF,41,19,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,1155.0,779
1824c2,STHYD-6,CAMP_SAN_01,P12,62,67.0,50% OFF,31,93,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,4154.0,2883
e025ee,STVSK-1,CAMP_SAN_01,P07,300,27.0,BOGOF,150,107,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,8100.0,16050
583386,STBLR-9,CAMP_SAN_01,P08,1190,63.0,BOGOF,595,254,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,74970.0,151130
93118f,STVSK-0,CAMP_SAN_01,P03,200,261.0,BOGOF,100,1041,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,52200.0,104100
21a8a0,STBLR-4,CAMP_SAN_01,P01,172,286.0,33% OFF,115,394,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,49192.0,45310
d31787,STMYS-2,CAMP_SAN_01,P10,50,78.0,25% OFF,37,20,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,3900.0,740
e918c8,STBLR-4,CAMP_SAN_01,P09,90,66.0,25% OFF,67,56,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,5940.0,3752
b999c5,STMYS-2,CAMP_SAN_01,P03,200,406.0,BOGOF,100,1015,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,81200.0,101500
ffdcb8,STHYD-6,CAMP_SAN_01,P02,860,454.0,33% OFF,576,644,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,390440.0,370944
4b515c,STVJD-1,CAMP_SAN_01,P02,860,274.0,33% OFF,576,394,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,235640.0,226944
353060,STBLR-7,CAMP_SAN_01,P11,190,45.0,50% OFF,95,73,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,8550.0,6935
6f3721,STMDU-3,CAMP_SAN_01,P13,350,118.0,BOGOF,175,464,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,41300.0,81200
d58c29,STVSK-2,CAMP_SAN_01,P08,1190,27.0,BOGOF,595,107,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,32130.0,63665
62769f,STMDU-3,CAMP_SAN_01,P05,55,16.0,25% OFF,41,12,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,880.0,492
a672df,STMDU-1,CAMP_SAN_01,P12,62,36.0,50% OFF,31,49,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,2232.0,1519
870b25,STMYS-0,CAMP_SAN_01,P04,370,418.0,BOGOF,185,1116,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,154660.0,206460
